 Created on  1Dec2019 at 16:53:37 
   -0.428700   -0.182279   -0.884868
   -0.961510    0.143464    0.234342
   -0.992949   -0.091845   -0.074943
   -0.762029   -0.574216    0.299312
   -0.845171   -0.476643    0.241862
   -0.723454   -0.048942   -0.688636
   -0.927785    0.369481   -0.051948
   -0.746722   -0.102153   -0.657245
   -0.865516   -0.499218    0.040793
   -0.663710   -0.497273   -0.558756
   -0.977148   -0.211287   -0.023251
   -0.745539   -0.651633   -0.139808
   -0.824979   -0.559722   -0.078238
   -0.984740    0.164334   -0.057277
   -0.746533   -0.658553    0.094850
   -0.748234   -0.611037   -0.258419
   -0.953433   -0.281518   -0.108228
   -0.971387   -0.197891    0.131328
   -0.927232   -0.347394    0.139852
   32.894737
    0.277593    0.957880   -0.073541
   -0.113069    0.971383    0.208879
    0.239013    0.744232   -0.623691
    0.296119    0.662789   -0.687768
    0.671799    0.456658   -0.583224
    0.292082    0.955892   -0.030976
    0.025582    0.350942   -0.936048
    0.064985    0.748344   -0.660120
    0.489205    0.433299   -0.756922
    0.393903   -0.178309   -0.901691
    0.241030    0.559142   -0.793262
    0.482978    0.160409   -0.860815
    0.350933    0.936380    0.006235
   -0.524484    0.788973   -0.320059
    0.606620    0.794783   -0.018257
    0.305642    0.951258   -0.041116
    0.247157    0.231943   -0.940806
    0.476969   -0.074230   -0.875780
    0.687191    0.505167   -0.522086
    0.213639   -0.091021   -0.972663
    0.257649    0.608129   -0.750864
    0.691289    0.565915   -0.449287
    0.318371    0.802752   -0.504212
   -0.144733    0.718204   -0.680614
    0.663407    0.174258   -0.727685
   -0.144646    0.851706   -0.503661
    0.764842    0.465663   -0.445168
    0.256283    0.046412   -0.965487
    0.223282    0.377920   -0.898511
   -0.282140    0.959373    0.000579
    0.984506   -0.002983   -0.175324
   -0.063195    0.889911   -0.451734
   -0.662060    0.503124   -0.555466
    0.654832    0.342406   -0.673761
    0.476551    0.219248   -0.851369
   -0.490275    0.104560   -0.865273
    0.077060    0.027266   -0.996654
    0.546663    0.814166   -0.195688
    0.525592    0.827763   -0.196371
   -0.150375    0.731384   -0.665180
    0.432897    0.573967   -0.695099
   -0.030518    0.399757   -0.916113
    0.717363    0.058647   -0.694226
    0.817357    0.469074   -0.334509
    0.351799    0.415400   -0.838856
    0.245799    0.873290   -0.420650
    0.544978    0.281005   -0.789959
    0.278029    0.516820   -0.809689
   -0.400524    0.910682   -0.101186
    0.337154    0.046962   -0.940277
    0.412594    0.427475   -0.804382
   -0.067461    0.588969   -0.805335
   -0.086237    0.524314   -0.847147
    0.987577    0.009141   -0.156867
    0.809928    0.585289   -0.038112
    0.486593    0.816715    0.310168
    0.446538    0.893872   -0.039955
    0.792256    0.069318   -0.606239
    0.705280    0.656294   -0.268062
    0.341740    0.160615   -0.925968
   -0.002889    0.961672    0.274187
    0.136949    0.784238   -0.605157
    0.302620    0.215533   -0.928422
    0.240932    0.736578   -0.631984
   35.526316
   -0.078214    0.302854    0.949822
    0.232978    0.788834    0.568738
   -0.452633    0.848435   -0.274374
   -0.986633    0.012824   -0.162455
   -0.665768    0.112588    0.737616
   -0.803212    0.532648    0.266716
   -0.751767    0.484549    0.447279
   -0.724751    0.652625   -0.220944
   -0.898267    0.358094    0.254726
   -0.824909    0.471910   -0.311168
   -0.024222    0.999617   -0.013367
   -0.799285   -0.073245   -0.596471
   -0.765230    0.142319    0.627829
   -0.912625    0.377253    0.157468
   -0.515508    0.058749   -0.854868
   -0.682628   -0.505161    0.528046
   -0.751071    0.561116    0.347910
   -0.697496    0.450978    0.556882
    0.477671    0.315530    0.819921
   -0.717647    0.542488    0.436680
   -0.793682   -0.397773    0.460268
   -0.823957    0.280599    0.492300
   -0.456446    0.628136    0.630160
   -0.715407    0.531738    0.453264
   -0.925339    0.362649    0.110605
   -0.914256   -0.078065    0.397544
   -0.478058    0.346696   -0.807008
   -0.714479    0.028785   -0.699065
   -0.454606    0.739071   -0.497099
   -0.834359    0.551191    0.005826
   -0.103748    0.739543   -0.665066
   -0.569383    0.804095   -0.170981
   -0.696235    0.694696    0.180707
   -0.106159    0.584853   -0.804162
   -0.612953    0.567425    0.549834
   -0.841092    0.423953    0.335900
   -0.359922    0.760442    0.540541
   -0.330506    0.932332    0.146709
   -0.732989    0.640863    0.228085
   -0.483535    0.840391    0.244821
   -0.907546   -0.297286    0.296617
   -0.848845    0.395566   -0.350700
   -0.443220    0.808640   -0.386857
   -0.783807    0.601402   -0.154798
   -0.738527    0.630730   -0.238239
    0.219476    0.924830   -0.310677
   -0.156598    0.965439   -0.208339
   -0.754431    0.656352   -0.005986
   -0.602754    0.579802    0.548195
    0.151552    0.931930   -0.329453
   -0.479636    0.779243    0.403398
   -0.649957    0.758337    0.049808
   -0.632511    0.772867    0.051053
    0.210729    0.877406    0.430989
   -0.758682    0.364784   -0.539754
   -0.835577    0.407083   -0.368910
   -0.832585    0.550244    0.063512
