 Created on  8Aug2021 at 03:35:01 
    0.978647   -0.002291   -0.205533
   -0.488879   -0.871643    0.035163
   -0.271675   -0.378678   -0.884758
   -0.703942    0.542113    0.458888
   -0.766100   -0.233955    0.598629
   -0.048844   -0.172585    0.983783
   -0.517651    0.659167    0.545468
   -0.526293   -0.771984    0.356450
   -0.581362   -0.779946    0.231737
   -0.730719   -0.329315    0.597998
   -0.789000   -0.008887   -0.614329
   -0.295207    0.955298   -0.016066
   -0.729630    0.199946   -0.653958
   -0.799059   -0.534378   -0.275580
   -0.935020    0.172297   -0.309920
   -0.832915   -0.551492   -0.045925
   -0.489223    0.582470    0.649146
    0.069358    0.942626    0.326565
   -0.715907   -0.680370   -0.156761
   -0.618219    0.676854    0.399593
   -0.949319   -0.310509   -0.048768
   -0.151835    0.511459    0.845787
   -0.994853   -0.094102    0.037571
   -0.626034   -0.670439    0.398237
   -0.807881    0.412458   -0.420959
   -0.786894    0.611914    0.079744
   -0.964130   -0.152375   -0.217339
   -0.061841    0.171048   -0.983320
   -0.999161   -0.008443   -0.040074
    0.564094    0.768899   -0.300986
    0.279595   -0.069965   -0.957565
    0.524551   -0.847555   -0.080600
    0.790510    0.590448   -0.162681
    0.966349   -0.144858   -0.212570
    0.802807    0.158376   -0.574820
    0.905605   -0.202087   -0.372882
    0.988519    0.129155    0.078422
    0.963363    0.265274    0.039514
    0.082723   -0.624627   -0.776529
    0.881643   -0.467578    0.063851
    0.324734   -0.909510   -0.259499
    0.983746    0.108297    0.143235
    0.624648   -0.628311    0.463725
   -0.636957   -0.770256   -0.031480
    0.141948    0.052270    0.988493
   -0.601548    0.712565   -0.361098
   -0.559265   -0.516823    0.648164
   -0.999057    0.031196   -0.030191
   -0.326136    0.056596    0.943627
   -0.755861   -0.557202    0.343803
   -0.846354   -0.390858   -0.361821
   -0.733423    0.238397    0.636598
    0.201163   -0.263801    0.943368
   -0.834322    0.247227    0.492732
   -0.999777   -0.003990   -0.020722
   -0.516588    0.311045   -0.797739
   -0.969190    0.191613   -0.154776
    0.918323    0.238042    0.316259
    0.681866    0.446713   -0.579228
    0.926792   -0.336155   -0.167502
    0.880030    0.290476   -0.375728
    0.831683   -0.393495   -0.391747
    0.390698   -0.003942   -0.920510
    0.749079    0.652904    0.112236
    0.681057    0.696000    0.227475
    0.738016    0.674442   -0.021482
    0.063048   -0.009607   -0.997964
    0.895072   -0.315268    0.315361
    0.739018   -0.234228   -0.631656
    0.576302   -0.092944    0.811934
    0.900489    0.405962    0.155929
   -0.956934   -0.038199    0.287782
   -0.230456   -0.887384    0.399299
   -0.990126   -0.071948   -0.120304
   -0.815044    0.423991    0.394886
   -0.641832   -0.026431    0.766390
    0.421561    0.813949    0.399716
   -0.863325   -0.324905    0.386144
   -0.676387   -0.688050    0.262846
   -0.985458    0.169533    0.011451
   -0.018884   -0.784906    0.619327
    0.091449   -0.275070   -0.957065
   -0.971895   -0.112913    0.206570
   -0.490750   -0.432034   -0.756644
   -0.361585   -0.019393   -0.932138
    0.750582   -0.660518    0.018519
    0.743486    0.628841   -0.227569
    0.748379   -0.616746   -0.244036
    0.827027   -0.557355   -0.073360
    0.915165   -0.079376   -0.395187
    0.061112   -0.848975   -0.524887
   -0.147440    0.881037   -0.449483
    0.949308   -0.295325    0.107690
    0.721314   -0.105345   -0.684550
    0.437897    0.595217   -0.673768
   -0.303700   -0.483503    0.820970
    0.944573   -0.260908    0.199269
    0.439977    0.515786    0.735109
    0.827584    0.511168    0.231975
   -0.983768   -0.040767   -0.174753
   -0.894212   -0.447510   -0.010933
   -0.608321   -0.767425   -0.202495
   -0.415407    0.850749   -0.321968
   -0.644260   -0.399104    0.652415
    0.325342    0.346559   -0.879801
    0.190053   -0.489446    0.851071
   -0.946470    0.153720   -0.283838
   -0.938327    0.285283    0.195335
   -0.770188   -0.637561    0.018071
   -0.151525   -0.986703    0.058794
   -0.427057   -0.319677   -0.845831
   -0.658571   -0.740077   -0.136270
   -0.306515   -0.531354    0.789754
    0.978653   -0.044613    0.200620
    0.430752    0.785537    0.444279
    0.707176    0.504418   -0.495444
    0.346194   -0.765599    0.542224
    0.079135   -0.102757   -0.991554
    0.228580    0.388377    0.892701
    0.147408   -0.146775   -0.978125
    0.939992    0.075197    0.332806
    0.544247    0.021382   -0.838653
   -0.091916    0.661569   -0.744230
    0.306442    0.945860   -0.106971
    0.363824   -0.468391    0.805134
    0.746941    0.610358   -0.263710
    0.337940    0.703162   -0.625588
   -0.975819    0.196089   -0.096572
   -0.554245   -0.806331    0.206499
   -0.723777   -0.507208    0.467853
   -0.050158    0.841098   -0.538552
   -0.317958    0.070318    0.945493
   -0.816633    0.431574    0.383216
    0.073265   -0.979675    0.186733
   -0.933362   -0.188039    0.305740
   -0.732461    0.045996    0.679254
   -0.259098   -0.401877    0.878273
   -0.764065   -0.470516   -0.441383
   -0.555663    0.524427   -0.645147
   -0.819087   -0.297792    0.490323
   -0.387102   -0.868719    0.308997
    0.908099    0.417578    0.031393
    0.117643    0.950657   -0.287074
    0.957331    0.205305   -0.203387
    0.686351   -0.726739   -0.027808
   -0.299771   -0.108652   -0.947804
    0.975232    0.065462   -0.211275
    0.352979    0.927026   -0.126607
   -0.033395    0.112011   -0.993146
    0.769475    0.359049   -0.528197
    0.681808    0.543242   -0.489925
    0.911573    0.296734    0.284576
    0.814810    0.579591   -0.012627
    0.931679   -0.033896    0.361697
    0.549525    0.731436   -0.403762
   -0.971245   -0.237402    0.017968
   -0.561576   -0.542936   -0.624382
   -0.895500    0.375191    0.239399
   -0.883455    0.372198    0.284562
   -0.146786    0.708141    0.690645
   -0.960369   -0.075547    0.268297
   -0.805646   -0.585530   -0.089937
   -0.692896   -0.642969    0.326322
    0.067644    0.818163    0.570993
   -0.424198   -0.811814    0.401266
   -0.808657    0.457374    0.369977
   -0.699396   -0.678541   -0.224560
   -0.828080    0.481960    0.286355
   -0.703931   -0.704867   -0.087426
    0.902750    0.187650   -0.387080
    0.285886   -0.352433    0.891101
    0.578898    0.297068   -0.759360
    0.913755   -0.399001    0.076483
   -0.151922   -0.587628   -0.794741
    0.819363    0.196638   -0.538496
    0.536280   -0.398480   -0.744055
    0.440946    0.794154    0.418194
    0.742242    0.349745   -0.571625
    0.526436   -0.245940   -0.813866
    0.909013    0.415395    0.033784
    0.941897   -0.293415    0.163516
    0.062612    0.401760   -0.913602
    0.802898    0.156965    0.575080
   -0.969751   -0.199720   -0.140336
   -0.973781   -0.031878    0.225244
   -0.329358    0.306263    0.893155
   -0.573740    0.232469   -0.785354
   -0.369987    0.304261    0.877801
   -0.877969    0.348361   -0.328353
    0.069234    0.235530    0.969398
   -0.625615   -0.518741    0.582678
   -0.746817   -0.571532    0.340022
   -0.039820    0.684534    0.727892
   -0.894958   -0.402685    0.192078
   -0.991677   -0.084807   -0.096877
   -0.884116    0.045933    0.465004
   -0.785747   -0.618068    0.024385
    0.755817    0.539182    0.371514
    0.998796    0.027848   -0.040392
    0.219346   -0.973315   -0.067411
    0.965234    0.210605   -0.154819
    0.858515   -0.490875   -0.148299
    0.716099   -0.697900   -0.011728
    0.930654   -0.241707   -0.274702
    0.908388    0.053527   -0.414687
    0.918497    0.359701   -0.164250
    0.713908   -0.564380    0.414501
    0.712533   -0.606222    0.353259
    0.863129    0.311615   -0.397372
    0.894329   -0.251001    0.370371
    0.546189   -0.369402    0.751811
    0.817119    0.538259   -0.206382
   -0.393583   -0.544362   -0.740785
    0.655207   -0.668435   -0.351993
    0.625490    0.415746    0.660241
    0.995366   -0.044040   -0.085477
    0.833662    0.532064    0.148038
    0.075596   -0.533450   -0.842446
    0.663459    0.730794   -0.160506
    0.230792    0.691944   -0.684067
    0.871042    0.017460    0.490899
    0.757876   -0.039316   -0.651213
    0.260259    0.835472    0.483995
    0.606720   -0.413075    0.679162
    0.717116    0.447167    0.534590
   -0.621260   -0.399728    0.673983
   -0.882188    0.411286    0.229320
   -0.197440    0.340161    0.919406
   -0.666262    0.451391   -0.593583
   -0.938454   -0.324282    0.118931
   -0.663366    0.708404   -0.241058
   -0.980024    0.196792    0.028737
   -0.256619   -0.729729    0.633753
   -0.831732    0.417067   -0.366438
   -0.289825   -0.054016    0.955554
   -0.826589    0.409661   -0.385912
   -0.774032   -0.557894    0.299380
   -0.920430    0.353573    0.166720
   -0.491287   -0.251766   -0.833817
    0.833613    0.513687   -0.203013
    0.851847   -0.361562   -0.378986
   -0.546547    0.025444   -0.837042
    0.948240   -0.304700   -0.089438
    0.978189    0.207488    0.009739
    0.696224   -0.703148   -0.144412
    0.361222    0.457314   -0.812639
    0.616261    0.629515   -0.473216
    0.947876   -0.299764    0.108037
    0.818850    0.106053   -0.564126
