 #written on  1Dec2019 at 16:58:59 
 #---------------------------------------------------- MONTECARLO ----------------------------------------------------#
 #  Temp    Shell   Atom1   Type1   Atom2   Type2   <\sum_{ij} Si.Sj/N>   <\sum_{ij}|Si.Sj|/N>   <|\sum_{ij}Si.Sj|/N> #
 #--------------------------------------------------------------------------------------------------------------------#
  34.7234     2      Ni       1      Ni       1        -0.001048159           0.512705128             0.005840641
  34.7234     3      Ni       1      Ni       1        -0.665576079           0.687075693             0.665576079
  34.7234     4      Ni       1      Ni       1        -0.660091230           0.683369632             0.660091230
  36.3404     1      Ni       1      Ni       1        -0.001857978           0.501528920             0.009652266
  36.3404     2      Ni       1      Ni       1        -0.001102573           0.509759143             0.006161065
  36.3404     3      Ni       1      Ni       1        -0.646669804           0.673889571             0.646669804
  36.3404     4      Ni       1      Ni       1        -0.640926497           0.670217473             0.640926497
  37.9574     1      Ni       1      Ni       1        -0.001989488           0.500812487             0.010167977
  37.9574     2      Ni       1      Ni       1        -0.001216862           0.507927905             0.006483375
  37.9574     3      Ni       1      Ni       1        -0.627847065           0.661429216             0.627847065
  37.9574     4      Ni       1      Ni       1        -0.621900819           0.657863433             0.621900819
  39.5745     1      Ni       1      Ni       1        -0.002175871           0.501545903             0.010686174
  39.5745     2      Ni       1      Ni       1        -0.001212868           0.507272161             0.006824952
  39.5745     3      Ni       1      Ni       1        -0.608494074           0.649415175             0.608494074
  39.5745     4      Ni       1      Ni       1        -0.602156312           0.645862770             0.602156312
  41.1915     1      Ni       1      Ni       1        -0.002278269           0.500959355             0.011274874
  41.1915     2      Ni       1      Ni       1        -0.001297306           0.505921611             0.007153209
  41.1915     3      Ni       1      Ni       1        -0.588376575           0.637672439             0.588376575
  41.1915     4      Ni       1      Ni       1        -0.581943070           0.634307280             0.581943070
  42.8085     1      Ni       1      Ni       1        -0.002416709           0.499687947             0.011819488
  42.8085     2      Ni       1      Ni       1        -0.001332031           0.504193740             0.007531173
  42.8085     3      Ni       1      Ni       1        -0.567889956           0.626464261             0.567889956
  42.8085     4      Ni       1      Ni       1        -0.561298487           0.623375161             0.561298487
  44.4255     1      Ni       1      Ni       1        -0.002524966           0.499840542             0.012403274
  44.4255     2      Ni       1      Ni       1        -0.001536144           0.503731183             0.007914499
  44.4255     3      Ni       1      Ni       1        -0.546327739           0.615559569             0.546327739
  44.4255     4      Ni       1      Ni       1        -0.539715581           0.612678561             0.539715581
  46.0426     1      Ni       1      Ni       1        -0.002645609           0.499978198             0.012973508
  46.0426     2      Ni       1      Ni       1        -0.001578262           0.503312497             0.008287805
  46.0426     3      Ni       1      Ni       1        -0.524729769           0.605428494             0.524729769
  46.0426     4      Ni       1      Ni       1        -0.517928114           0.602701024             0.517928114
  47.6596     1      Ni       1      Ni       1        -0.002796398           0.500005881             0.013599061
  47.6596     2      Ni       1      Ni       1        -0.001660251           0.502684403             0.008664756
  47.6596     3      Ni       1      Ni       1        -0.502985144           0.595970159             0.502985144
  47.6596     4      Ni       1      Ni       1        -0.495713500           0.593262688             0.495713500
  49.2766     1      Ni       1      Ni       1        -0.002962883           0.499738944             0.014210299
  49.2766     2      Ni       1      Ni       1        -0.001747071           0.502102238             0.009049100
  49.2766     3      Ni       1      Ni       1        -0.480797538           0.586937347             0.480797538
  49.2766     4      Ni       1      Ni       1        -0.473325930           0.584313302             0.473325930
  50.8936     1      Ni       1      Ni       1        -0.003131424           0.500141489             0.014818354
  50.8936     2      Ni       1      Ni       1        -0.001871160           0.502058284             0.009438273
  50.8936     3      Ni       1      Ni       1        -0.458685694           0.578586157             0.458685694
  50.8936     4      Ni       1      Ni       1        -0.451618883           0.576375850             0.451618883
  52.5106     1      Ni       1      Ni       1        -0.003343650           0.499966062             0.015420838
  52.5106     2      Ni       1      Ni       1        -0.001974209           0.501798051             0.009836213
  52.5106     3      Ni       1      Ni       1        -0.436179880           0.570794006             0.436179880
  52.5106     4      Ni       1      Ni       1        -0.428970612           0.568833431             0.428970612
  54.1277     1      Ni       1      Ni       1        -0.003454621           0.500034511             0.016028157
  54.1277     2      Ni       1      Ni       1        -0.002064115           0.501539476             0.010194635
  54.1277     3      Ni       1      Ni       1        -0.414914153           0.563751545             0.414914153
  54.1277     4      Ni       1      Ni       1        -0.407703733           0.561969061             0.407703733
  55.7447     1      Ni       1      Ni       1        -0.003606592           0.499973078             0.016623730
  55.7447     2      Ni       1      Ni       1        -0.002122385           0.501321368             0.010574517
  55.7447     3      Ni       1      Ni       1        -0.393459312           0.557213141             0.393459312
  55.7447     4      Ni       1      Ni       1        -0.386404532           0.555501986             0.386404532
  57.3617     1      Ni       1      Ni       1        -0.003758558           0.500005714             0.017201602
