 #written on  7Aug2021 at 22:47:11 
 #---------------------------------------------------- MONTECARLO ----------------------------------------------------#
 #  Temp    Shell   Atom1   Type1   Atom2   Type2   <\sum_{ij} Si.Sj/N>   <\sum_{ij}|Si.Sj|/N>   <|\sum_{ij}Si.Sj|/N> #
 #--------------------------------------------------------------------------------------------------------------------#
  15.5238     2      Mn       1      Mn       1        -0.668639726           0.687016605             0.668639726
  15.5238     3      Mn       1      Mn       1         0.860878381           0.860925078             0.860878381
  15.5238     4      Mn       1      Mn       1         0.660914662           0.680030804             0.660914662
  15.5238     5      Mn       1      Mn       1        -0.850222948           0.850316531             0.850222948
  15.5238     6      Mn       1      Mn       1        -0.655772540           0.675597372             0.655772540
  15.5238     7      Mn       1      Mn       1         0.652329764           0.672554450             0.652329764
  16.5714     1      Mn       1      Mn       1        -0.900601624           0.900605770             0.900601624
  16.5714     2      Mn       1      Mn       1        -0.630343263           0.656468608             0.630343263
  16.5714     3      Mn       1      Mn       1         0.851205278           0.851292631             0.851205278
  16.5714     4      Mn       1      Mn       1         0.622239572           0.649414571             0.622239572
  16.5714     5      Mn       1      Mn       1        -0.839834662           0.840003793             0.839834662
  16.5714     6      Mn       1      Mn       1        -0.616839793           0.645032876             0.616839793
  16.5714     7      Mn       1      Mn       1         0.613227934           0.641989890             0.613227934
  17.6190     1      Mn       1      Mn       1        -0.894199989           0.894208412             0.894199989
  17.6190     2      Mn       1      Mn       1        -0.068701582           0.577254306             0.485682879
  17.6190     3      Mn       1      Mn       1         0.841783403           0.841935846             0.841783403
  17.6190     4      Mn       1      Mn       1         0.060650987           0.576407676             0.485585273
  17.6190     5      Mn       1      Mn       1        -0.829757331           0.830040847             0.829757331
  17.6190     6      Mn       1      Mn       1        -0.055426489           0.575767488             0.485428365
  17.6190     7      Mn       1      Mn       1         0.051864894           0.575419286             0.485394593
  18.6667     1      Mn       1      Mn       1        -0.887659689           0.887675662             0.887659689
  18.6667     2      Mn       1      Mn       1        -0.604518998           0.641539016             0.604518998
