 #written on  7Aug2021 at 23:08:01 
 #---------------------------------------------------- MONTECARLO ----------------------------------------------------#
 #  Temp    Shell   Atom1   Type1   Atom2   Type2   <\sum_{ij} Si.Sj/N>   <\sum_{ij}|Si.Sj|/N>   <|\sum_{ij}Si.Sj|/N> #
 #--------------------------------------------------------------------------------------------------------------------#
   6.7738     2      Mn       1      Mn       1        -0.012635238           0.786656474             0.783630227
   6.7738     3      Mn       1      Mn       1         0.939716335           0.939716335             0.939716335
   6.7738     4      Mn       1      Mn       1         0.009127482           0.786610527             0.783602163
   6.7738     5      Mn       1      Mn       1        -0.934999031           0.934999033             0.934999031
   6.7738     6      Mn       1      Mn       1        -0.006746982           0.786564553             0.783571194
   6.7738     7      Mn       1      Mn       1         0.005169175           0.786544680             0.783558811
   7.1055     1      Mn       1      Mn       1        -0.958042093           0.958042093             0.958042093
   7.1055     2      Mn       1      Mn       1        -0.004366896           0.780181565             0.776548837
   7.1055     3      Mn       1      Mn       1         0.936760429           0.936760429             0.936760429
   7.1055     4      Mn       1      Mn       1         0.000699074           0.780174531             0.776560537
   7.1055     5      Mn       1      Mn       1        -0.931817797           0.931817799             0.931817797
   7.1055     6      Mn       1      Mn       1         0.001785451           0.780157456             0.776558282
   7.1055     7      Mn       1      Mn       1        -0.003432444           0.780156277             0.776565425
   7.4543     1      Mn       1      Mn       1        -0.955961185           0.955961185             0.955961185
   7.4543     2      Mn       1      Mn       1         0.000185589           0.771012534             0.766453718
   7.4543     3      Mn       1      Mn       1         0.933639754           0.933639756             0.933639754
   7.4543     4      Mn       1      Mn       1        -0.004003856           0.771023011             0.766484084
   7.4543     5      Mn       1      Mn       1        -0.928458793           0.928458799             0.928458793
   7.4543     6      Mn       1      Mn       1         0.006585036           0.771015662             0.766491577
   7.4543     7      Mn       1      Mn       1        -0.008298983           0.771024007             0.766507982
   7.8204     1      Mn       1      Mn       1        -0.953769256           0.953769256             0.953769256
   7.8204     2      Mn       1      Mn       1        -0.002812174           0.764917002             0.759846638
   7.8204     3      Mn       1      Mn       1         0.930353261           0.930353266             0.930353261
   7.8204     4      Mn       1      Mn       1        -0.001180233           0.764914553             0.759863714
   7.8204     5      Mn       1      Mn       1        -0.924917574           0.924917589             0.924917574
   7.8204     6      Mn       1      Mn       1         0.003876407           0.764895564             0.759859476
   7.8204     7      Mn       1      Mn       1        -0.005669421           0.764894979             0.759866967
   8.2044     1      Mn       1      Mn       1        -0.951477391           0.951477391             0.951477391
   8.2044     2      Mn       1      Mn       1        -0.007772693           0.759827373             0.754206943
   8.2044     3      Mn       1      Mn       1         0.926922529           0.926922539             0.926922529
   8.2044     4      Mn       1      Mn       1         0.003589669           0.759797045             0.754200114
   8.2044     5      Mn       1      Mn       1        -0.921222618           0.921222654             0.921222618
   8.2044     6      Mn       1      Mn       1        -0.000763805           0.759755200             0.754176402
   8.2044     7      Mn       1      Mn       1        -0.001114265           0.759740534             0.754172314
   8.6036     1      Mn       1      Mn       1        -0.949082891           0.949082891             0.949082891
   8.6036     2      Mn       1      Mn       1        -0.016743834           0.754674300             0.748706869
   8.6036     3      Mn       1      Mn       1         0.923342738           0.923342759             0.923342738
   8.6036     4      Mn       1      Mn       1         0.012367990           0.754590857             0.748652701
   8.6036     5      Mn       1      Mn       1        -0.917372884           0.917372962             0.917372884
   8.6036     6      Mn       1      Mn       1        -0.009414674           0.754513837             0.748598163
   8.6036     7      Mn       1      Mn       1         0.007450745           0.754476825             0.748573160
   9.0223     1      Mn       1      Mn       1        -0.946576184           0.946576185             0.946576184
   9.0223     2      Mn       1      Mn       1        -0.031989787           0.746211814             0.739087737
   9.0223     3      Mn       1      Mn       1         0.919599836           0.919599885             0.919599836
   9.0223     4      Mn       1      Mn       1         0.027423658           0.746028622             0.738934263
   9.0223     5      Mn       1      Mn       1        -0.913345734           0.913345889             0.913345734
   9.0223     6      Mn       1      Mn       1        -0.024345477           0.745885538             0.738811309
   9.0223     7      Mn       1      Mn       1         0.022296721           0.745806838             0.738743605
   9.4613     1      Mn       1      Mn       1        -0.943934966           0.943934967             0.943934966
   9.4613     2      Mn       1      Mn       1        -0.054081322           0.739233689             0.731358077
   9.4613     3      Mn       1      Mn       1         0.915650457           0.915650557             0.915650457
   9.4613     4      Mn       1      Mn       1         0.049310446           0.738904767             0.731054174
   9.4613     5      Mn       1      Mn       1        -0.909098106           0.909098419             0.909098106
   9.4613     6      Mn       1      Mn       1        -0.046099631           0.738662777             0.730827791
   9.4613     7      Mn       1      Mn       1         0.043960463           0.738523065             0.730694562
   9.9216     1      Mn       1      Mn       1        -0.941170921           0.941170924             0.941170921
   9.9216     2      Mn       1      Mn       1        -0.040740227           0.731123699             0.721803465
   9.9216     3      Mn       1      Mn       1         0.911525005           0.911525217             0.911525005
   9.9216     4      Mn       1      Mn       1         0.035759122           0.730862191             0.721574915
   9.9216     5      Mn       1      Mn       1        -0.904659411           0.904660028             0.904659411
